id,tmdb_id,imdb_id,title,release_year,genres,runtime,production_studios,tmdb_rating,imdb_rating,rotten_score,meta_score,avg_score
272,350650,tt4788602,Doraemon: Nobita and the Space Heroes,2015,"['Comedy', 'Animation', 'Family', 'Adventure', 'Science Fiction', 'Fantasy']",100,"['Shin-Ei Animation', 'Fujiko Productions', 'Shogakukan', 'TV Asahi', 'ADK', 'Shogakukan-Shueisha Productions']",6.2,6.6,0.0,0.0,6.4
273,311056,tt4531412,Beyond the Boundary: I'll Be Here – Past,2015,"['Animation', 'Fantasy', 'Action', 'Drama', 'Comedy']",82,['Kyoto Animation'],6.835,6.6,0.0,0.0,6.72
274,316873,tt3737650,Detective Conan: Sunflowers of Inferno,2015,"['Animation', 'Crime', 'Adventure', 'Mystery']",113,"['TMS Entertainment', 'TOHO', 'Shogakukan', 'Yomiuri Telecasting Corporation', 'Nippon Television Network Corporation', 'V1 studio', 'Shogakukan-Shueisha Productions']",6.11,6.3,0.0,0.0,6.21
275,303857,tt3819668,Dragon Ball Z: Resurrection 'F',2015,"['Action', 'Animation', 'Science Fiction']",93,"['Toei Animation', 'Toei Company', 'Fox International Productions Japan', 'Shueisha', 'Fuji Television Network', 'Bandai', 'Bandai Namco Group']",6.857,7.1,8.3,0.0,7.42
276,333622,tt4539114,Beyond the Boundary: I'll Be Here – Future,2015,"['Animation', 'Action', 'Fantasy', 'Drama', 'Comedy']",90,['Kyoto Animation'],7.433,7.3,0.0,0.0,7.37
277,347200,tt3354302,Code Geass: Akito the Exiled 3: The Brightness Falls,2015,"['Action', 'Animation', 'Science Fiction']",60,['SUNRISE'],6.391,6.5,0.0,0.0,6.45
278,267970,tt3689910,Miss Hokusai,2015,"['Animation', 'Drama', 'History']",90,"['Production I.G', 'The Asahi Shimbun']",6.7,6.7,9.3,7.4,7.52
279,312966,tt5575408,Mushi-Shi: The Next Chapter - Drops of Bells,2015,"['Animation', 'Mystery', 'Fantasy']",47,"['Artland', 'Aniplex']",8.302,8.5,0.0,0.0,8.4
280,321487,tt4971484,Initial D Legend 2: Racer,2015,"['Animation', 'Drama', 'Action']",60,"['Sanzigen', 'LIDENFILMS', 'avex pictures']",7.8,7.3,0.0,0.0,7.55
281,358632,tt4663760,Typhoon Noruda,2015,"['Science Fiction', 'Animation']",27,['Studio Colorido'],6.5,5.7,0.0,0.0,6.1
