id,title,release_year,budget,revenue,runtime,genres,genre_list,popularity,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
31246,From Justin to Kelly,2003,12000000.0,4922166.0,81.0,"['Comedy', 'Romance', 'Music']","['Comedy', 'Romance', 'Music']",7.2624,0.0,0.0,False,False
10610,The Medallion,2003,38000000.0,34300000.0,88.0,"['Thriller', 'Fantasy', 'Action', 'Comedy']","['Thriller', 'Fantasy', 'Action', 'Comedy']",10.0729,0.0,0.0,False,False
6466,Freddy vs. Jason,2003,30000000.0,116643421.0,97.0,['Horror'],['Horror'],9.3331,0.0,0.0,False,False
587,Big Fish,2003,70000000.0,123200000.0,125.0,"['Adventure', 'Fantasy', 'Drama']","['Adventure', 'Fantasy', 'Drama']",10.5789,1.0,0.0,True,False
8326,Holes,2003,20000000.0,71406573.0,117.0,"['Adventure', 'Family', 'Drama', 'Comedy']","['Adventure', 'Family', 'Drama', 'Comedy']",10.9563,0.0,0.0,False,False
10782,Basic,2003,50000000.0,42792561.0,98.0,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']","['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",9.6234,0.0,0.0,False,False
30669,Devil's Pond,2003,5000000.0,15027.0,92.0,"['Thriller', 'Drama']","['Thriller', 'Drama']",7.0225,0.0,0.0,False,False
27821,Something to Scream About,2003,2000.0,0.0,65.0,['Documentary'],['Documentary'],12.1616,0.0,0.0,False,False
9480,Daredevil,2003,78000000.0,179179718.0,103.0,"['Fantasy', 'Action']","['Fantasy', 'Action']",8.3142,0.0,0.0,False,False
32316,Marci X,2003,20000000.0,1675706.0,84.0,['Comedy'],['Comedy'],7.2467,0.0,0.0,False,False
11023,Thirteen,2003,2000000.0,10128960.0,100.0,['Drama'],['Drama'],9.4027,1.0,0.0,True,False
10147,Bad Santa,2003,23000000.0,76500000.0,92.0,"['Drama', 'Comedy', 'Crime']","['Drama', 'Comedy', 'Crime']",8.2756,0.0,0.0,False,False
48382,"The Book of Mormon Movie, Volume 1: The Journey",2003,2000000.0,1672730.0,120.0,"['Adventure', 'Family']","['Adventure', 'Family']",8.0161,0.0,0.0,False,False
