id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,15,Spider-Man 3,258000000,894983373,2007,6.24,692051
1,15,Spider-Man 2,200000000,788976453,2004,8.1,777496
2,15,Evil Dead II,3500000,10900000,1987,7.81,193621
3,15,The Gift,10000000,12008642,2000,6.27,77772
4,15,A Simple Plan,17000000,16316273,1998,7.98,80865
5,15,The Quick and the Dead,35000000,47000000,1995,6.03,112245
6,15,Drag Me to Hell,30000000,91388487,2009,7.65,229962
7,15,Oz the Great and Powerful,200000000,491868548,2013,5.56,220679
8,15,Darkman,14000000,48878502,1990,6.82,72622
9,15,The Evil Dead,350000,29612367,1981,7.54,249650
10,15,Doctor Strange in the Multiverse of Madness,290000000,955775804,2022,6.86,538966
11,15,Spider-Man,139000000,821708551,2002,7.76,958249
12,15,Army of Darkness,11000000,21502976,1992,6.84,206363
