id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,2,Mean Streets,500000,3000000,1973,8.28,124697
1,2,Casino,50000000,116112375,1995,7.85,613907
2,2,The Departed,90000000,291465000,2006,8.56,1538133
3,2,Raging Bull,18000000,23380203,1980,8.55,407608
4,2,Cape Fear,35000000,182300000,1991,7.4,240855
5,2,GoodFellas,25000000,47072327,1990,8.91,1378825
6,2,The Aviator,110000000,213719942,2004,7.75,401380
7,2,The Age of Innocence,34000000,32255440,1993,7.97,73037
8,2,After Hours,4500000,10609321,1985,8.25,96034
9,2,Gangs of New York,100000000,193772504,2002,7.3,502256
10,2,The Last Temptation of Christ,7000000,33773585,1988,7.72,66884
11,2,Shutter Island,80000000,294804195,2010,7.4,1629567
12,2,The Color of Money,13800000,52293982,1986,7.58,97663
13,2,Bringing Out the Dead,32000000,16797191,1999,7.03,80892
14,2,Hugo,170000000,185770160,2011,8.07,348108
15,2,Alice Doesn't Live Here Anymore,1800000,21000000,1974,7.81,28743
16,2,The Wolf of Wall Street,100000000,407038432,2013,7.91,1759293
17,2,The Irishman,159000000,968853,2019,8.57,468945
18,2,Silence,46000000,23834809,2016,7.63,130171
19,2,Killers of the Flower Moon,200000000,158722599,2023,8.28,302730
20,2,The King of Comedy,19000000,2536000,1982,7.95,131528
21,2,Taxi Driver,1900000,28579636,1976,8.66,1016941
