id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,5,Mean Streets,500000,3000000,1973,8.26,124697
1,5,Casino,50000000,116112375,1995,7.85,613907
2,5,The Departed,90000000,291465000,2006,8.56,1538133
3,5,Cape Fear,35000000,182300000,1991,7.4,240855
4,5,Raging Bull,18000000,23380203,1980,8.55,407608
5,5,GoodFellas,25000000,47072327,1990,8.91,1378825
6,5,The Aviator,110000000,213719942,2004,7.75,401380
7,5,The Age of Innocence,34000000,32255440,1993,7.97,73037
8,5,After Hours,4500000,10609321,1985,8.25,96034
9,5,Gangs of New York,100000000,193772504,2002,7.3,502256
10,5,The Last Temptation of Christ,7000000,33773585,1988,7.72,66884
11,5,Shutter Island,80000000,294804195,2010,7.4,1629567
12,5,The Color of Money,13800000,52293982,1986,7.56,97663
13,5,Bringing Out the Dead,32000000,16797191,1999,7.03,80892
14,5,Hugo,170000000,185770160,2011,8.07,348108
15,5,Alice Doesn't Live Here Anymore,1800000,21000000,1974,7.83,28743
16,5,The Wolf of Wall Street,100000000,407038432,2013,7.91,1759293
17,5,The Irishman,159000000,968853,2019,8.57,468945
18,5,Silence,46000000,23834809,2016,7.63,130171
19,5,Killers of the Flower Moon,200000000,158722599,2023,8.28,302730
20,5,The King of Comedy,19000000,2536000,1982,7.95,131528
21,5,Taxi Driver,1900000,28579636,1976,8.66,1016941
