id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
1,8,Pan's Labyrinth,19000000,83258226,2006,8.81,742180
2,8,The Devil's Backbone,4500000,6582065,2001,7.95,72828
3,8,Hellboy,66000000,99318987,2004,7.22,369044
4,8,Hellboy II: The Golden Army,85000000,160388063,2008,7.54,297109
5,8,Mimic,30000000,25480490,1997,6.09,57996
6,8,Blade II,54000000,155010032,2002,6.04,251178
7,8,Pacific Rim,180000000,411000000,2013,6.88,555685
8,8,Crimson Peak,55000000,74700000,2015,6.74,168637
9,8,Frankenstein,120000000,480678,2025,7.87,257226
10,8,The Shape of Water,19500000,195300000,2017,8.11,472626
11,8,Guillermo del Toro's Pinocchio,35000000,0,2022,6.56,142865
12,8,Nightmare Alley,60000000,39629195,2021,7.24,176503
