id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,4,The Terminator,6400000,78371200,1984,8.29,996325
1,4,Terminator 2: Judgment Day,102000000,517778573,1991,8.34,1276343
2,4,Titanic,200000000,2264162353,1997,8.05,1383106
3,4,Aliens,18500000,183316455,1986,8.54,835609
4,4,The Abyss,43000000,90000098,1989,7.15,205697
5,4,True Lies,115000000,378900000,1994,7.1,298420
6,4,Avatar: Fire and Ash,350000000,1482195377,2025,6.84,134356
7,4,Avatar,237000000,2923706026,2009,7.97,1486308
8,4,Avatar: The Way of Water,350000000,2353096253,2022,7.35,601100
