tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
137502,tt1794963,Fafner: Heaven and Earth,2010,"Action, Animation, Drama, Science Fiction",0,0,4.8,8
137362,tt1663228,Webdultery,2010,Drama,0,0,4.0,5
136921,tt1635656,Pixels,2010,"Science Fiction, Animation, Action",0,0,7.108,83
136563,tt1632477,Guardians of the Lost Code,2010,Animation,3,0,7.5,22
136294,tt1560993,The Perfect Date,2010,"Comedy, Romance",0,0,5.612,215
136070,tt1569488,Vengeance Can Wait,2010,"Romance, Comedy, Drama",0,0,6.2,10
135905,tt1667193,Katie Fforde - Glücksboten,2010,Drama,0,0,3.5,6
135903,tt1603312,Katie Fforde - Eine Liebe in den Highlands,2010,"TV Movie, Drama, Comedy, Romance",0,0,6.1,8
135717,tt1681665,David Blaine: What Is Magic?,2010,Documentary,0,0,7.3,23
135621,tt2458032,Little Quentin,2010,Animation,0,0,7.2,7
135361,tt2256613,Alice in Wonderland,2010,"Family, Animation, Fantasy, Music, Adventure",0,0,6.3,7
135331,tt1676739,Christina Aguilera: VH1 Storytellers,2010,Music,0,0,8.3,6
135330,tt1753774,Embracing Chaos: Making The African Queen,2010,Documentary,0,0,7.0,12
135303,tt1049412,The Singularity Is Near,2010,Documentary,5000000,0,6.2,8
135267,tt12669684,Todo Poderoso: O Filme - 100 Anos de Timão,2010,Documentary,0,0,8.6,7
135223,tt1821373,Cocktail,2010,Thriller,0,0,6.714,21
135114,tt1817142,Family Instinct,2010,Documentary,0,0,6.6,5
135041,tt1757671,Anwar,2010,"Action, Thriller, Crime",0,0,6.2,27
134825,tt1414374,Sophie & Sheba,2010,Family,0,0,5.4,8
134718,tt1640186,Sweaty Beards,2010,Comedy,0,0,2.8,6
134472,tt1129404,Another Harvest Moon,2010,Drama,0,0,4.667,6
133667,tt1718711,Three Letters: Marid,2010,Horror,0,0,3.2,11
133573,tt1640111,Secret Love,2010,"Drama, Romance",0,0,5.2,19
133448,tt1570337,Macbeth,2010,Drama,0,0,6.833,36
133380,tt0462479,Naco Es Chido,2010,"Documentary, Comedy",0,0,6.1,8
133204,tt4981442,Out of Sight,2010,"Animation, Adventure, Drama, Fantasy",0,0,7.7,26
133163,tt1800312,Back to Your Arms,2010,"Drama, History",0,0,6.0,8
133160,tt1641397,Postcard,2010,"War, Drama, Romance",0,0,5.636,11
132973,tt1587308,Hope for Haiti Now,2010,"Music, Documentary",0,0,6.3,6
132568,tt1588336,Nénette,2010,Documentary,0,0,6.5,8
132390,tt1371631,Knifer,2010,Drama,0,0,6.229,24
132239,tt1687903,The Confession,2010,"Drama, Thriller",0,0,7.1,20
132219,tt1334318,Homeland,2010,Drama,0,0,4.3,12
131880,tt1562450,Stonewall Uprising,2010,Documentary,0,0,5.781,16
131857,tt1754045,The Guilt,2010,Thriller,0,0,7.4,11
131707,tt1590941,18+ : True Love Never Dies,2010,Drama,0,0,3.5,5
131389,tt1677709,The Nutcrackers,2010,"Animation, Family",0,0,6.3,5
130830,tt1991025,Crack House USA,2010,Not found,0,0,6.8,5
130627,tt2095646,Get Out,2010,"Comedy, Animation",0,0,6.263,19
130303,tt1421033,El idioma imposible,2010,Drama,0,0,5.8,5
130266,tt1336999,Jucy,2010,Comedy,150000,0,4.8,5
130165,tt1581336,President's Day,2010,"Horror, Thriller, Comedy",5000,0,3.912,17
129955,tt1587878,Apart Together,2010,Drama,0,0,6.8,16
129783,tt1782474,The Screen Illusion,2010,Comedy,0,0,3.8,6
129754,tt1666710,Louise's Diary 1942,2010,Drama,0,0,4.375,8
129739,tt2104922,Invention of Love,2010,"Romance, Animation, Drama",0,0,6.342,38
129731,tt2170086,Thought of You,2010,Not found,0,0,7.1,13
129597,tt1484918,A Woman,2010,Drama,0,0,4.3,7
129590,tt1305148,"You Think You're the Prettiest, But You Are the Sluttiest",2010,Comedy,0,0,5.2,5
129489,tt1612107,All Things Were Now Overtaken By Silence,2010,"Documentary, Drama",0,0,4.8,6
129487,tt1649264,… But Film Is My Mistress,2010,Documentary,0,0,6.308,13
129396,tt1608782,My Brothers,2010,"Drama, Action",0,0,6.6,7
129192,tt4145582,Get Out of the Car,2010,Documentary,0,0,5.4,7
129182,tt1702436,Oh! Invisible Man,2010,Comedy,0,0,4.818,11
