collection_id,collection_name,title,release_date,budget,revenue,roi,vote_average,vote_count,is_original,original_revenue,original_roi,original_rating,revenue_diff,roi_diff,rating_diff
404609,John Wick Collection,John Wick: Chapter 4,2023-03-22,100000000,447316405,4.47,7.708,7722,True,447316405,4.47,7.708,0,0.0,0.0
422837,Blade Runner Collection,Blade Runner 2049,2017-10-04,150000000,259239658,1.73,7.589,14839,True,259239658,1.73,7.589,0,0.0,0.0
448150,Deadpool Collection,Deadpool,2016-02-09,58000000,782837347,13.5,7.6,32419,True,782837347,13.5,7.6,0,0.0,0.0
468552,Wonder Woman Collection,Wonder Woman,2017-05-30,149000000,823970682,5.53,7.209,20733,True,823970682,5.53,7.209,0,0.0,0.0
477962,It Collection,It,2017-09-06,35000000,719766009,20.56,7.239,20119,True,719766009,20.56,7.239,0,0.0,0.0
496796,Sicario Collection,Sicario,2015-09-17,30000000,84997446,2.83,7.416,9362,True,84997446,2.83,7.416,0,0.0,0.0
523855,The Equalizer Collection,The Equalizer,2014-09-24,55000000,192330738,3.5,7.281,9777,True,192330738,3.5,7.281,0,0.0,0.0
531241,Spider-Man (MCU) Collection,Spider-Man: Homecoming,2017-07-05,175000000,880978185,5.03,7.329,22900,True,880978185,5.03,7.329,0,0.0,0.0
531241,Spider-Man (MCU) Collection,Spider-Man: Far From Home,2019-06-28,160000000,1132723226,7.08,7.396,16723,False,880978185,5.03,7.329,251745041,2.05,0.06700000000000017
531241,Spider-Man (MCU) Collection,Spider-Man: No Way Home,2021-12-15,200000000,1921847111,9.61,7.933,21626,False,880978185,5.03,7.329,1040868926,4.579999999999999,0.6040000000000001
531242,Suicide Squad Collection,The Suicide Squad,2021-07-28,185000000,168717425,0.91,7.467,9411,True,168717425,0.91,7.467,0,0.0,0.0
531330,Top Gun Collection,Top Gun: Maverick,2022-05-21,170000000,1488732821,8.76,8.156,10628,True,1488732821,8.76,8.156,0,0.0,0.0
531331,Maleficent Collection,Maleficent,2014-05-28,180000000,758539785,4.21,7.087,13603,True,758539785,4.21,7.087,0,0.0,0.0
558216,Venom Collection,Venom,2018-09-28,116000000,856085151,7.38,6.826,17047,True,856085151,7.38,6.826,0,0.0,0.0
573436,Spider-Man: Spider-Verse Collection,Spider-Man: Into the Spider-Verse,2018-12-06,90000000,393602435,4.37,8.394,16927,True,393602435,4.37,8.394,0,0.0,0.0
573436,Spider-Man: Spider-Verse Collection,Spider-Man: Across the Spider-Verse,2023-05-31,100000000,690897910,6.91,8.334,8315,False,393602435,4.37,8.394,297295475,2.54,-0.0600000000000005
573693,Aquaman Collection,Aquaman,2018-12-07,160000000,1152028393,7.2,6.867,14756,True,1152028393,7.2,6.867,0,0.0,0.0
573693,Aquaman Collection,Aquaman and the Lost Kingdom,2023-12-20,205000000,440181226,2.15,6.541,3388,False,1152028393,7.2,6.867,-711847167,-5.050000000000001,-0.3259999999999996
720879,Sonic the Hedgehog Collection,Sonic the Hedgehog,2020-02-12,85000000,319715683,3.76,7.3,10270,True,319715683,3.76,7.3,0,0.0,0.0
726871,Dune Collection,Dune,2021-09-15,165000000,410668500,2.49,7.778,14514,True,410668500,2.49,7.778,0,0.0,0.0
727761,Terrifier Collection,Terrifier,2018-01-25,35000,421798,12.05,6.323,2892,True,421798,12.05,6.323,0,0.0,0.0
840465,Greenland Collection,Greenland,2020-07-29,34000000,52300000,1.54,7.129,5115,True,52300000,1.54,7.129,0,0.0,0.0
931431,Mortal Kombat (Reboot) Collection,Mortal Kombat,2021-04-07,20000000,84426031,4.22,6.991,6208,True,84426031,4.22,6.991,0,0.0,0.0
948485,The Batman Collection,The Batman,2022-03-01,185000000,772775278,4.18,7.7,11660,True,772775278,4.18,7.7,0,0.0,0.0
987044,Joker Collection,Joker,2019-10-01,55000000,1078958629,19.62,8.127,27369,True,1078958629,19.62,8.127,0,0.0,0.0
1022790,Inside Out Collection,Inside Out,2015-06-17,175000000,857611174,4.9,7.91,23213,True,857611174,4.9,7.91,0,0.0,0.0
1084247,Zootopia Collection,Zootopia,2016-02-11,150000000,1025521689,6.84,7.759,17752,True,1025521689,6.84,7.759,0,0.0,0.0
1102372,Fall Collection,Fall,2022-08-11,3000000,17363261,5.79,7.111,4415,True,17363261,5.79,7.111,0,0.0,0.0
1268789,Tangled Collection,Tangled,2010-11-24,260000000,592461732,2.28,7.61,12219,True,592461732,2.28,7.61,0,0.0,0.0
1393821,Wonka Collection,Wonka,2023-12-06,125000000,634502312,5.08,7.039,4282,True,634502312,5.08,7.039,0,0.0,0.0
1434561,The Super Mario Collection,The Super Mario Bros. Movie,2023-04-05,100000000,1362000000,13.62,7.6,10304,True,1362000000,13.62,7.6,0,0.0,0.0
1451277,Encanto Collection,Encanto,2021-10-13,150000000,261292688,1.74,7.572,10083,True,261292688,1.74,7.572,0,0.0,0.0
1451578,Coco Collection,Coco,2017-10-27,175000000,814641172,4.66,8.198,20706,True,814641172,4.66,8.198,0,0.0,0.0
1458846,Once Upon a Time... in Hollywood Collection,Once Upon a Time... in Hollywood,2019-07-24,95000000,392105159,4.13,7.423,14605,True,392105159,4.13,7.423,0,0.0,0.0
