id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,3,Oppenheimer,100000000,952000000,2023,8.63,1008589
1,3,Tenet,205000000,365304105,2020,7.1,679078
2,3,Batman Begins,150000000,374218673,2005,7.86,1700042
3,3,Interstellar,165000000,746606706,2014,7.98,2472939
4,3,Insomnia,46000000,113714830,2002,7.79,340021
5,3,The Dark Knight,185000000,1004558444,2008,8.88,3135889
6,3,Dunkirk,150000000,527000000,2017,8.46,800591
7,3,Following,6000,126052,1999,7.18,109420
8,3,The Prestige,40000000,109676311,2006,7.75,1573561
9,3,Memento,9000000,40060108,2000,8.54,1424930
10,3,Inception,160000000,839030630,2010,8.32,2793322
11,3,The Dark Knight Rises,250000000,1081041287,2012,8.17,1974176
