id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,4,Magnolia,37000000,48451803,1999,7.93,341915
1,4,Boogie Nights,15000000,43101594,1997,8.31,294236
2,4,Hard Eight,3000000,222559,1997,7.47,59455
3,4,Punch-Drunk Love,25000000,24665649,2002,7.53,195534
4,4,There Will Be Blood,25000000,77208711,2007,8.67,700517
5,4,The Master,32000000,28258060,2012,7.83,197015
6,4,Inherent Vice,20000000,14810975,2014,7.14,118114
7,4,One Battle After Another,175000000,209377100,2025,8.52,329147
8,4,Phantom Thread,35000000,47756590,2017,8.2,156650
9,4,Licorice Pizza,40000000,33276075,2021,8.03,155060
