id,title,release_year,budget,revenue,runtime,main_genre,popularity,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
1649,Bill & Ted's Bogus Journey,1991,20000000.0,38040268.0,93.0,Adventure,6.9657,0.0,0.0,False,False
41780,A Rage in Harlem,1991,8000000.0,10400000.0,115.0,Crime,5.513,0.0,0.0,False,False
11663,The Commitments,1991,12000000.0,14919570.0,118.0,Comedy,9.8627,1.0,0.0,True,False
12227,White Fang,1991,14000000.0,34793160.0,107.0,Action,6.3266,0.0,0.0,False,False
37137,The Naked Gun 2½: The Smell of Fear,1991,23000000.0,192030411.0,86.0,Comedy,5.904,0.0,0.0,False,False
31633,The Marrying Man,1991,26000000.0,12454768.0,116.0,Comedy,6.4057,0.0,0.0,False,False
2907,The Addams Family,1991,30000000.0,191502426.0,100.0,Comedy,7.1333,1.0,0.0,True,False
820,JFK,1991,40000000.0,205405498.0,189.0,Drama,8.1891,8.0,2.0,True,True
10249,The Rocketeer,1991,42000000.0,46704056.0,108.0,Action,9.2031,0.0,0.0,False,False
13154,Showdown in Little Tokyo,1991,8000000.0,2275557.0,79.0,Action,6.5627,0.0,0.0,False,False
10750,Toy Soldiers,1991,10000000.0,15100000.0,112.0,Action,7.8783,0.0,0.0,False,False
10975,Operation Condor,1991,15000000.0,24100000.0,107.0,Action,8.1922,0.0,0.0,False,False
11364,Regarding Henry,1991,25000000.0,43001500.0,108.0,Romance,5.7746,0.0,0.0,False,False
18886,Flight of the Intruder,1991,35000000.0,14587732.0,115.0,Action,5.0507,0.0,0.0,False,False
1633,Fried Green Tomatoes,1991,11000000.0,119418501.0,130.0,Drama,5.9187,2.0,0.0,True,False
14362,Out for Justice,1991,14000000.0,39673161.0,91.0,Action,5.7528,0.0,0.0,False,False
1713,Jungle Fever,1991,14000000.0,32482682.0,132.0,Drama,8.4307,0.0,0.0,False,False
11504,Suburban Commando,1991,11000000.0,8000000.0,88.0,Action,6.5101,0.0,0.0,False,False
32221,Rambling Rose,1991,7500000.0,6266621.0,112.0,Drama,8.6418,2.0,0.0,True,False
4032,My Girl,1991,17000000.0,59490000.0,103.0,Comedy,6.33,0.0,0.0,False,False
10276,What About Bob?,1991,35000000.0,63710000.0,100.0,Comedy,5.0624,0.0,0.0,False,False
