title,release_date,budget,revenue,roi,vote_average,vote_count,runtime,genres,avg_trend_before,max_trend_before,peak_date_before,avg_trend_after,max_trend_after
The Man from Nowhere,2010-08-04,1255000,43059790,34.31,7.697,1451,119,"Action, Thriller, Crime",,,,,
The Town,2010-09-15,37000000,154026136,4.16,7.217,5523,125,"Crime, Drama, Thriller",,,,41.94,100.0
Legend of the Guardians: The Owls of Ga'Hoole,2010-07-10,80000000,140073390,1.75,6.819,2438,97,"Animation, Adventure, Family, Fantasy",,,,,
Little Fockers,2010-12-21,100000000,310650585,3.11,5.655,3406,98,"Comedy, Romance",,,,26.53,100.0
The Twilight Saga: Eclipse,2010-06-23,68000000,698491347,10.27,6.195,9168,124,"Adventure, Fantasy, Drama, Romance",1.07,100.0,2010-05-10,11.55,100.0
Incendies,2010-09-17,6800000,6788659,1.0,8.106,3174,131,"Drama, War, Mystery",0.54,100.0,2010-05-22,,
The Tourist,2010-12-08,100000000,278731369,2.79,6.177,5686,103,"Action, Thriller, Romance",3.59,100.0,2010-12-07,56.5,100.0
The King's Speech,2010-11-26,15000000,414211549,27.61,7.733,9192,118,"Drama, History",,,,,
Death at a Funeral,2010-04-15,21000000,49050886,2.34,5.876,1046,92,Comedy,,,,5.52,100.0
Takers,2010-08-26,32000000,80205382,2.51,6.229,1354,107,"Action, Crime, Drama, Thriller",1.34,100.0,2010-08-22,20.12,100.0
Saw 3D,2010-10-22,17000000,136151680,8.01,5.979,3247,90,"Horror, Crime",5.47,100.0,2010-09-12,40.16,100.0
The American,2010-08-31,20000000,67900000,3.4,5.968,1476,104,"Crime, Drama, Thriller",,,,43.13,100.0
I Saw the Devil,2010-08-12,6000000,12966357,2.16,7.791,2939,144,"Thriller, Horror",,,,3.12,100.0
The Book of Eli,2010-01-14,80000000,157107755,1.96,6.791,6567,118,"Action, Thriller, Science Fiction",,,,,
Scott Pilgrim vs. the World,2010-08-12,73000000,51825248,0.71,7.486,8434,113,"Action, Comedy, Romance",0.55,100.0,2010-03-28,5.62,100.0
Four Lions,2010-05-07,3900000,6200000,1.59,6.954,1247,97,"Comedy, Crime, Drama",1.04,100.0,2010-03-27,3.12,100.0
Fair Game,2010-05-20,22000000,25806953,1.17,6.453,843,108,"Drama, Thriller",0.82,100.0,2010-05-12,,
Kick-Ass,2010-03-26,28000000,96188903,3.44,7.122,12243,118,"Action, Crime",1.07,100.0,2009-11-03,28.84,100.0
Skyline,2010-11-11,10500000,66984887,6.38,5.008,1728,93,"Science Fiction, Action, Thriller",31.99,100.0,2010-09-10,62.81,100.0
Chloe,2010-02-25,14000000,13657649,0.98,6.126,1836,96,"Drama, Thriller, Mystery",49.36,100.0,2009-12-05,69.1,100.0
The Spy Next Door,2010-01-15,28000000,66166000,2.36,5.872,1387,94,"Action, Comedy, Family",0.54,100.0,2009-11-08,6.91,100.0
Life As We Know It,2010-10-02,38000000,105734416,2.78,6.902,3250,114,"Comedy, Romance, Drama",,,,21.56,100.0
Loose Cannons,2010-03-12,7000000,8220215,1.17,7.267,804,108,"Comedy, Drama, Romance",,,,,
