tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
571265,tt9507234,Digimon Adventure: Last Evolution Kizuna,2020,"Animation, Action, Adventure, Fantasy",0,17361009,8.14,258
651881,tt10196398,Bye Bye Morons,2020,"Comedy, Drama",9700000,16955173,7.179,948
585244,tt9779516,I Still Believe,2020,"Music, Drama, Romance",12000000,16069730,7.568,1219
668742,tt11506284,Father There Is Only One 2,2020,"Comedy, Family",4000000,14871307,7.516,570
529485,tt8544498,The Way Back,2020,Drama,23000000,14590514,6.636,1297
614696,tt10620868,#Alive,2020,"Action, Horror, Science Fiction",6300000,13416285,7.211,2011
571384,tt8004664,Come Play,2020,"Horror, Mystery",9000000,13182254,6.397,726
585257,tt12200256,Fire,2020,"Action, Drama",7000000,12916151,7.947,179
581032,tt6878306,News of the World,2020,"Drama, Western, Adventure",38000000,12700000,6.933,1907
644712,tt9648672,Street Dancer 3D,2020,Drama,9204790,12589965,6.7,44
514847,tt8244784,The Hunt,2020,"Action, Thriller, Horror",14000000,12400979,6.6,3548
606906,tt10516176,Steel Rain 2: Summit,2020,"Action, Thriller, War",0,12329960,7.0,65
635199,tt10919074,Howling Village,2020,"Horror, Mystery",0,12175665,5.9,102
661043,tt9877170,Malang,2020,"Romance, Action, Adventure, Crime, Thriller",7907534,11136444,7.0,64
613377,tt11206302,30 Days Max,2020,"Comedy, Action",13000000,11020901,5.52,401
731249,tt12850062,Crayon Shin-chan: Crash! Scribble Kingdom and Almost Four Heroes,2020,"Animation, Comedy, Family, Action, Adventure, Fantasy",0,11000000,7.4,17
587562,tt12615474,Two by Two: Overboard!,2020,"Animation, Adventure, Comedy, Family",0,10885076,7.6,174
702525,tt9204164,Bigfoot Family,2020,"Animation, Adventure, Family",17520000,10855626,7.1,225
575089,tt8959680,One Second,2020,Drama,1250000,10791301,7.282,117
566927,tt9208444,Impractical Jokers: The Movie,2020,Comedy,3000000,10700000,6.564,156
605193,tt11812338,Honest Candidate,2020,Comedy,0,10468890,6.235,34
653910,tt10358022,Nightlife,2020,"Comedy, Romance",0,10349294,6.136,154
592834,tt8242084,My Spy,2020,"Family, Action, Comedy",18000000,10200000,6.866,1357
550738,tt8028842,Spycies,2020,"Animation, Comedy, Action, Adventure, Family",0,10000000,7.4,218
520946,tt8774798,100% Wolf,2020,"Animation, Family, Fantasy, Adventure",0,9750139,6.107,333
640344,tt11559652,Me Against You: Mr. S's Vendetta,2020,"Family, Fantasy",75000,9500000,8.05,471
430155,tt6087226,Coma,2020,"Science Fiction, Adventure, Action",2250000,9500000,6.4,613
