title,release_date,budget,revenue,roi,vote_average,vote_count,runtime,genres,avg_trend_before,max_trend_before,trend_peak_date
Oppenheimer,2023-07-19,100000000,952000000,9.52,8.0,11416,181,"Drama, History",7.91,100,2023-07-21
Barbie,2023-07-19,145000000,1447138421,9.98,6.928,10812,114,"Comedy, Adventure",12.04,100,2023-07-20
Inception,2010-07-15,160000000,839030630,5.24,8.37,38772,148,"Action, Science Fiction, Adventure",12.95,100,2010-07-16
